"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"25","59152388","DA","Langley",0.24109,605,302,290,"5915002","5915","9330503.09","59933",245,230,90,15,55,70,95,25,15,25,2.8,25792,22496,32320,290,5,0,290,0,50,110,105,75,45,25,10,5,5,5,0,0,33.9,40.5,105,20,0,10,0,10,35,45,40,10,10,10,5,10,20,25,20,25,35,30,20,30,25,10,10,5,10,526,583,348959,324455,16.1,0,140,41.4,41.4,50,963,887,70,25,25,45,0,20,150,15,320,0,0,10,15,0,40,40,0,10,60,125,430,0,0,0,90,15,65,0,425,180,15
"26","59152389","DA","Langley",0.5134,1680,721,713,"5915002","5915","9330503.09","59933",725,715,345,45,160,165,260,95,50,35,2.7,37888,30944,46891,710,0,40,675,0,135,190,205,210,185,130,70,45,45,25,5,15,11.4,15.1,595,55,55,35,10,20,210,225,155,60,120,10,5,15,30,30,45,30,50,50,40,80,75,60,55,50,90,1176,1162,250511,275964,79.3,18.1,120,26.1,26.1,47.8,1029,1063,80,270,120,215,35,155,805,50,345,90,50,30,95,40,170,145,0,45,140,360,1215,15,0,10,0,30,105,0,1195,210,0
"27","59152390","DA","Langley",0.82814,432,222,216,"5915002","5915","9330503.09","59933",185,180,120,15,35,10,75,20,15,5,2.6,36736,30720,42624,215,5,0,215,0,40,60,65,65,45,35,25,10,5,5,0,5,11.6,15.1,180,20,20,20,0,0,65,85,60,10,20,0,0,5,5,5,15,15,20,25,10,30,20,25,10,10,15,1016,1011,184787,221994,88,16,90,0,0,33.3,906,951,50,90,15,70,10,35,245,0,110,15,10,25,30,10,70,40,10,15,25,110,295,0,10,20,10,0,65,0,355,80,0
"28","59152391","DA","Langley",0.13433,877,610,605,"5915002","5915","9330503.07","59933",105,765,210,80,255,225,40,10,0,0,2.4,17408,17520,17216,605,0,0,605,0,50,420,130,35,20,0,0,0,10,5,0,5,68.4,75.7,65,10,10,60,0,0,50,35,20,25,10,10,20,205,170,100,20,20,5,10,5,5,10,5,5,0,5,0,0,0,0,0,0,620,87.9,87.9,53.2,390,519,90,110,30,60,15,50,145,35,530,25,10,0,10,10,60,15,0,10,40,140,575,10,20,0,10,0,60,0,565,140,15
"29","59152392","DA","Langley",0.88054,1837,1151,1103,"5915002","5915","9330503.08","59933",740,915,550,85,210,80,335,100,25,10,2.4,32320,26400,38997,1105,5,0,1100,0,195,340,290,300,205,135,75,35,35,10,10,15,21,25.1,765,35,120,85,0,10,275,280,195,135,145,25,20,75,80,80,65,85,90,70,70,135,100,75,40,40,55,1183,1173,223391,249942,83.7,31.8,665,8.3,8.3,43.9,918,943,150,390,155,275,55,215,1080,85,500,60,65,55,115,15,315,260,30,25,110,300,1370,30,20,35,25,70,275,0,1350,470,20
"30","59152393","DA","Langley",0.05181,521,384,276,"5915002","5915","9330503.06","59933",200,245,135,20,50,40,95,30,10,10,2.7,29376,28480,32981,275,0,0,275,0,55,95,95,75,60,35,10,5,10,5,5,0,21.2,27.9,180,20,25,10,0,10,60,70,70,25,25,5,0,15,25,30,15,20,15,20,25,30,25,20,10,15,15,954,948,224888,218112,59.4,25,125,20,20,45.8,854,883,65,105,35,55,0,30,255,30,180,0,0,15,0,10,70,70,10,25,15,115,385,0,0,0,25,0,100,0,390,170,0
"31","59152394","DA","Langley",0.99362,897,431,410,"5915002","5915","9330503.08","59933",435,315,205,25,65,25,145,65,35,15,2.7,35563,28736,43392,410,35,0,370,5,100,115,115,135,100,65,50,15,25,15,5,5,13.4,17.3,385,25,25,20,0,0,110,115,130,70,45,15,15,5,15,15,20,20,20,20,20,45,55,40,45,20,40,1246,1216,250354,316600,86.1,22.2,220,0,0,36.4,1255,1201,85,205,35,115,25,75,495,45,170,45,25,30,50,20,145,135,0,20,85,220,675,15,0,60,0,60,45,0,730,120,15
"32","59152779","DA","Langley",0.1624,472,160,156,"5915002","5915","9330503.01","59933",255,130,100,10,15,10,60,25,40,15,3,41984,31936,55680,155,130,0,25,0,60,50,35,55,50,20,25,20,50,20,15,15,7.5,7.5,220,0,15,0,0,0,90,55,50,40,15,0,5,0,5,0,5,0,5,5,5,5,10,15,15,15,70,1719,2011,700154,778871,89.3,32.1,20,0,0,0,0,0,20,95,40,60,10,45,255,15,85,35,10,0,45,0,65,50,10,10,45,65,415,10,0,25,0,0,45,0,395,70,0
"33","59152780","DA","Langley",0.22472,438,151,148,"5915002","5915","9330503.01","59933",245,125,95,5,10,5,55,40,30,5,3,41088,33408,52565,150,125,0,25,0,45,50,35,60,50,30,40,15,25,5,5,10,5.7,5.7,200,10,10,10,0,10,35,90,55,35,15,0,0,0,0,5,5,5,5,5,0,15,10,10,15,25,55,2038,1852,699177,712333,76.9,11.5,15,0,0,0,0,0,20,105,20,85,10,20,250,10,105,30,10,10,30,10,40,55,15,10,45,135,375,15,10,0,10,0,30,0,380,45,10
"34","59152781","DA","Langley",0.25864,650,235,225,"5915002","5915","9330503.01","59933",340,190,140,5,25,15,90,45,40,20,3,44672,35456,60843,225,165,0,60,0,60,75,70,65,70,55,45,40,35,15,15,15,4.6,3.8,320,15,15,10,0,10,110,125,60,40,35,0,0,5,0,5,5,10,0,10,5,20,10,15,20,25,95,2046,1778,697023,676703,79.5,15.8,30,0,0,50,0,0,50,120,50,80,20,75,405,30,110,80,15,10,55,15,90,65,15,25,60,135,565,0,0,10,15,10,20,0,590,50,0
"35","59152782","DA","Langley",0.26417,596,214,202,"5915002","5915","9330503.01","59933",335,135,100,10,20,10,85,40,45,10,3,43584,33920,60032,200,175,0,25,0,55,60,60,65,50,45,35,30,45,20,15,15,5,5,340,20,0,0,0,0,110,95,75,45,35,0,0,0,0,5,5,5,5,5,10,15,10,10,20,25,85,1971,1718,700115,815015,68.3,12.2,0,0,0,0,0,0,30,80,70,70,15,80,385,10,120,45,25,35,30,30,90,75,0,10,55,175,545,15,0,0,0,10,35,0,560,60,0
"36","59152783","DA","Langley",0.18501,295,112,109,"5915002","5915","9330503.01","59933",170,80,55,5,10,10,40,20,25,5,3,43264,29632,55424,110,95,0,20,0,30,30,35,30,25,25,25,15,25,10,5,10,6.8,5.1,120,0,20,10,0,0,35,65,20,25,15,0,0,5,0,5,0,0,5,5,10,10,0,5,10,10,45,1348,1369,648753,640116,59.1,22.7,0,0,0,0,0,0,0,70,35,50,10,20,175,10,75,20,10,10,30,0,55,30,10,0,0,70,200,0,0,15,0,0,25,0,230,55,10
"37","59152784","DA","Langley",0.17551,410,172,170,"5915002","5915","9330503.03","59933",220,135,80,10,20,25,65,35,25,5,2.8,39808,35584,49536,170,55,0,110,0,35,45,55,60,55,30,25,10,20,10,10,5,3.7,4.9,210,10,10,10,0,0,70,75,60,25,10,5,5,0,5,0,5,10,5,10,15,15,20,15,20,15,40,1353,1373,400980,467318,66.7,14.3,0,0,0,0,0,0,20,125,20,50,0,30,250,10,125,15,10,10,20,15,95,30,0,10,25,180,385,0,0,0,0,15,0,0,415,50,0
"38","59152785","DA","Langley",0.27949,654,234,217,"5915002","5915","9330503.03","59933",340,180,130,10,25,15,80,55,40,20,3,43392,30677,60672,215,160,0,60,0,50,85,75,55,60,55,50,25,45,20,15,15,6.1,5.3,255,15,20,0,0,0,80,70,85,20,40,0,0,0,5,5,5,5,10,5,10,10,15,15,15,20,95,1878,1669,751439,707592,67.6,14.7,35,0,0,57.1,1004,1268,30,140,55,90,10,45,330,15,135,10,10,25,45,0,95,80,0,20,75,130,550,0,0,15,10,25,20,0,565,60,0
"39","59153545","DA","Langley",0.16986,526,206,201,"5915002","5915","9330503.06","59933",245,185,120,15,35,10,80,40,25,15,2.8,32384,25792,40320,200,50,0,155,0,55,75,70,75,50,40,20,15,5,5,0,5,11.3,10.4,210,0,20,15,0,0,65,80,65,15,20,5,0,5,10,5,10,10,15,15,10,30,20,20,15,15,25,1102,1192,399560,369469,63.3,26.7,55,0,0,40,1252,1177,45,95,35,50,0,20,250,20,135,25,10,10,40,10,55,45,15,20,45,165,380,0,0,10,10,10,40,0,385,120,0
"40","59153546","DA","Langley",0.09304,383,147,138,"5915002","5915","9330503.07","59933",120,175,120,15,35,10,40,25,15,15,3.2,28267,24896,34688,135,0,0,140,0,50,50,60,55,30,20,5,5,0,5,0,0,18.2,23.4,115,0,30,30,0,0,25,55,40,25,30,0,0,0,5,5,5,10,10,15,10,15,20,15,5,10,5,1119,1119,229434,227929,93.8,37.5,65,0,0,64.3,1381,1383,20,55,20,65,0,10,185,20,85,10,15,10,10,10,60,40,0,25,55,145,340,0,0,0,0,0,0,0,370,0,0
