"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"76","24560211","DA","Saint-Jean-sur-Richelieu",6.63646,927,328,322,"2456083","2456","4590100.00","24459","0.293",320,295,3.1,0,20,10,115,55,75,20,10,510,225,175,5,20,15,43790,56437,29521,50,25,20,75,90,140,105,50,55,20,0,0,0,0,0,15,50,15,55,75,45,60,40,15,4.1,900,80,0,0,780,495,0,0,0,0,0,0,0,63.2,12.3,957,1003,259832,279426,0,0,0,0,0,35,80,90,185,0,120,480,30,165,100,35,0,30,0,85,60,0,35,355,0,25,0,0,0
"77","24560212","DA","Saint-Jean-sur-Richelieu",0.16175,316,122,119,"2456083","2456","4590100.00","24459","0.33799999999999997",115,120,2.8,0,0,0,50,20,20,10,5,175,85,55,0,15,15,48231,51921,33367,40,0,25,35,40,70,50,0,0,0,0,0,0,0,0,0,0,20,0,15,0,35,0,0,12.9,310,0,0,0,250,110,0,0,0,0,0,0,0,69.6,16.7,1079,1019,246077,239533,0,0,0,0,0,40,35,55,50,0,15,210,0,65,0,0,0,50,0,45,50,0,25,170,0,0,0,0,0
"78","24560213","DA","Saint-Jean-sur-Richelieu",2.64313,642,224,223,"2456083","2456","4590100.00","24459","0.29100000000000004",225,220,3.1,0,0,5,70,50,45,15,5,360,150,105,0,20,20,48539,55234,36086,40,50,40,35,45,105,105,45,30,0,0,0,0,0,0,0,20,20,20,60,50,40,40,0,5.4,640,0,0,0,505,205,0,0,0,0,30,0,0,69.8,11.4,1207,1072,240073,247341,0,0,0,0,0,70,90,70,55,25,85,410,20,90,80,0,0,50,20,75,65,0,30,355,0,0,0,0,0
"79","24560214","DA","Saint-Jean-sur-Richelieu",6.23177,568,217,215,"2456083","2456","4590101.00","24459","0.373",215,155,3.1,0,40,20,75,30,45,10,5,285,155,105,5,30,25,48348,58878,44823,35,35,25,45,135,95,50,45,0,0,0,0,0,0,0,0,10,20,55,30,55,25,0,0,2.7,545,0,0,25,435,240,0,0,0,0,0,0,0,63.2,13.2,737,974,200534,247576,30,0,0,605,513,25,55,70,75,0,75,285,30,185,40,35,15,10,0,55,50,0,15,240,0,0,0,0,0
"80","24560215","DA","Saint-Jean-sur-Richelieu",1.61979,458,173,166,"2456083","2456","4590101.00","24459","0.39399999999999996",170,145,3,0,0,25,60,25,35,10,5,240,130,100,0,15,10,42137,44108,38283,50,0,0,0,40,100,70,15,30,0,0,0,0,0,0,0,0,25,0,45,30,35,0,20,6.6,435,25,0,0,365,210,0,0,0,0,0,0,0,70,16.7,802,994,250838,325451,0,0,0,0,0,25,45,75,80,20,40,275,0,80,0,25,20,0,0,35,70,0,15,235,0,0,0,0,0
"81","24560216","DA","Saint-Jean-sur-Richelieu",34.06954,480,193,190,"2456083","2456","4590102.00","24459","0.49700000000000005",190,190,2.8,0,0,0,85,35,25,15,5,275,140,100,5,15,20,41598,46363,37033,35,15,35,20,115,75,55,20,15,0,0,0,0,0,0,0,15,0,10,65,15,25,0,0,9.5,475,0,0,0,415,135,0,0,0,0,0,0,0,41.4,0,467,710,214204,260482,0,0,0,0,0,85,105,35,70,0,35,335,0,95,100,45,0,30,0,55,25,0,35,240,0,0,0,0,0
"82","24560217","DA","Saint-Jean-sur-Richelieu",14.6514,570,208,203,"2456083","2456","4590102.00","24459","0.369",205,200,3,0,0,0,75,35,50,10,5,310,160,120,0,20,15,44775,43234,49907,20,50,20,0,75,80,50,30,40,0,0,0,0,0,0,0,0,0,0,45,30,30,25,0,8.8,555,0,0,20,365,425,0,0,0,0,0,0,0,43.2,0,483,802,268634,301174,0,0,0,0,0,0,80,70,110,0,40,315,0,85,30,40,35,50,0,20,40,55,0,260,0,0,0,0,0
"83","24560218","DA","Saint-Jean-sur-Richelieu",12.66081,1168,461,436,"2456083","2456","4590206.00","24459","0.253",435,265,3,0,0,170,145,75,100,25,5,600,290,210,10,55,15,61401,65074,51994,65,25,55,35,85,130,175,125,105,35,0,0,0,0,0,0,30,70,40,85,65,125,80,45,6,1145,25,0,0,915,540,0,0,0,0,0,0,0,80.6,12.5,1254,1229,274912,284641,75,0,0,855,860,40,180,110,155,35,165,610,35,230,100,40,25,140,0,70,85,0,30,530,0,50,0,0,0
"84","24560219","DA","Saint-Jean-sur-Richelieu",0.13909,517,157,156,"2456083","2456","4590201.00","24459","0.184",155,155,3.2,0,0,5,40,30,55,15,10,270,115,85,10,15,10,54892,64350,46843,40,35,0,15,35,55,35,50,35,20,0,0,0,0,0,0,0,0,0,40,50,35,20,0,2,500,0,0,0,355,200,0,0,0,0,0,0,0,87.1,13.3,1348,1365,259722,263575,0,0,0,0,0,55,40,20,70,25,80,310,0,45,60,35,20,50,0,55,0,0,0,250,20,15,0,0,0
"85","24560220","DA","Saint-Jean-sur-Richelieu",0.16909,543,181,179,"2456083","2456","4590201.00","24459","0.214",180,155,3.1,0,0,25,55,40,45,15,5,295,130,110,0,15,5,39891,51831,34929,35,30,20,25,60,65,45,30,70,0,0,0,0,0,0,0,0,15,0,50,70,25,25,0,7.3,525,20,0,35,365,250,0,0,0,0,0,0,0,67.6,8.8,1145,1030,219950,209050,0,0,0,0,0,20,115,85,65,0,50,325,25,80,35,30,15,55,0,85,35,0,15,270,0,20,0,0,0
"86","24560221","DA","Saint-Jean-sur-Richelieu",0.19856,499,197,190,"2456083","2456","4590201.00","24459","0.389",190,100,2.9,0,0,90,65,25,35,5,5,240,180,135,5,25,15,45025,40783,60960,0,25,25,25,80,75,40,50,0,0,0,0,0,0,0,30,0,0,0,45,35,35,20,0,7.4,460,0,0,0,310,220,0,0,0,0,0,0,0,69,17.2,1057,1242,250190,284476,45,0,50,723,753,40,35,45,80,30,75,265,0,130,30,30,15,55,0,35,25,0,0,235,0,15,0,0,0
"87","24560222","DA","Saint-Jean-sur-Richelieu",0.11784,379,139,139,"2456083","2456","4590201.00","24459","0.11",140,135,2.8,0,0,5,65,25,30,5,0,210,105,75,5,15,10,42697,48541,41071,20,35,20,35,25,75,45,30,0,0,0,0,0,0,0,0,0,30,20,20,25,20,0,0,2.6,370,20,0,0,280,175,0,25,0,0,0,0,0,63,0,975,895,239639,253724,0,0,0,0,0,45,50,10,45,0,50,180,0,130,15,0,0,35,0,60,20,0,0,140,10,0,0,0,0
"88","24560223","DA","Saint-Jean-sur-Richelieu",0.09853,428,150,147,"2456083","2456","4590201.00","24459","0.188",150,125,3.1,0,0,20,50,30,45,10,5,235,125,105,0,15,10,54846,68246,22755,40,35,20,25,35,35,30,20,15,0,0,0,0,0,0,0,0,0,0,30,0,35,20,15,12.9,345,0,0,0,310,150,0,0,0,0,0,0,0,79.2,25,1096,1009,235084,225023,0,0,0,0,0,20,30,55,25,0,60,205,0,75,15,0,0,20,0,35,30,0,0,145,20,15,0,0,0
"89","24560224","DA","Saint-Jean-sur-Richelieu",0.14318,475,162,161,"2456083","2456","4590201.00","24459","0.19899999999999998",160,155,3.1,0,0,5,50,45,40,10,0,260,125,100,0,15,10,51361,51441,46775,25,35,20,15,25,30,105,35,30,0,15,0,0,0,0,0,0,0,25,15,40,40,20,20,0,460,0,0,0,345,230,0,0,0,0,0,0,0,73.3,0,973,1023,250510,246530,0,0,0,0,0,15,50,40,35,30,90,275,20,75,20,30,20,70,0,55,30,0,0,235,0,0,0,0,0
"90","24560225","DA","Saint-Jean-sur-Richelieu",0.15173,366,129,128,"2456083","2456","4590201.00","24459","0.345",125,85,3,0,0,40,45,25,35,5,0,185,105,70,5,20,15,48484,53631,40008,0,0,0,30,55,90,40,25,0,0,0,0,0,0,0,0,0,15,20,35,15,50,0,0,2.5,340,55,0,0,245,200,0,10,0,0,0,0,0,87.1,0,1107,1033,200167,198364,0,0,0,0,0,30,40,40,50,20,20,220,0,115,20,40,30,40,0,30,40,0,0,170,0,25,0,0,0
"91","24560226","DA","Saint-Jean-sur-Richelieu",0.11565,508,257,247,"2456083","2456","4590201.00","24459","0.319",250,15,2.7,0,0,235,85,40,25,5,5,205,230,140,0,55,30,45857,61548,36021,25,40,35,0,75,120,40,45,0,0,0,0,0,0,0,35,65,40,35,30,25,0,0,0,11.8,510,0,0,30,455,140,0,0,0,0,0,0,0,68.2,27.3,1065,920,174298,181156,150,0,16.7,721,756,35,65,70,55,0,60,305,0,100,0,0,35,55,0,85,50,0,25,255,0,0,15,0,0
"92","24560227","DA","Saint-Jean-sur-Richelieu",0.15572,366,130,129,"2456083","2456","4590201.00","24459","0.135",130,100,3,0,0,30,50,25,35,10,0,205,95,80,0,15,5,38517,39247,35026,25,0,45,25,60,65,65,0,0,0,0,0,0,0,0,0,0,30,15,40,15,0,0,0,2.7,365,0,0,0,320,115,0,0,0,0,0,0,0,68,0,1014,920,200322,201041,0,0,0,0,0,25,50,45,50,0,20,190,0,120,0,0,15,25,0,65,30,0,0,160,0,0,0,0,0
"93","24560228","DA","Saint-Jean-sur-Richelieu",0.12437,352,129,128,"2456083","2456","4590201.00","24459","0.3",130,120,3,0,0,10,50,25,25,10,0,180,120,95,5,15,10,42983,42874,44701,30,15,30,30,70,55,50,20,20,0,0,0,0,0,0,0,0,0,20,65,20,0,0,0,0,350,25,0,0,220,165,0,0,0,0,0,0,0,56,0,1098,1074,239656,234270,0,0,0,0,0,15,60,65,50,25,25,225,20,95,25,0,0,15,0,100,25,0,20,195,0,20,0,0,0
"94","24560229","DA","Saint-Jean-sur-Richelieu",0.29088,692,254,248,"2456083","2456","4590200.00","24459","0.23",245,165,3,0,0,85,85,55,45,15,10,370,160,125,0,10,20,49959,50092,44731,50,30,40,35,105,85,60,25,65,0,0,0,0,0,0,0,30,0,25,80,30,25,0,0,13.8,635,55,0,70,435,340,0,20,0,0,0,0,0,72.7,9.4,1286,1209,274461,279722,85,0,0,862,768,40,0,105,115,30,85,400,10,110,20,40,20,85,30,70,50,0,0,310,20,30,0,0,0
"95","24560230","DA","Saint-Jean-sur-Richelieu",0.13744,407,142,139,"2456083","2456","4590200.00","24459","0.10800000000000001",140,135,3,0,5,5,55,25,20,10,5,215,110,90,0,15,10,32245,48942,22139,40,0,15,0,50,90,30,15,20,0,0,0,0,0,0,0,0,20,20,25,15,15,10,0,0,385,0,0,0,305,155,0,0,0,0,0,0,0,70.4,0,859,852,200586,218586,0,0,0,0,0,20,35,75,25,0,40,210,10,80,25,15,10,45,0,55,50,0,0,160,0,20,0,0,0
"96","24560231","DA","Saint-Jean-sur-Richelieu",0.17172,482,165,164,"2456083","2456","4590200.00","24459","0.276",160,145,3,0,0,15,60,40,35,15,5,260,150,125,5,10,10,40134,51328,39998,0,30,10,30,30,115,40,35,50,0,0,0,0,0,0,0,0,0,0,55,30,50,15,35,2,485,15,0,20,415,155,0,0,0,0,0,0,0,62.1,0,1073,1028,239745,302387,20,0,0,608,658,0,105,45,80,0,50,300,0,95,60,0,35,50,0,65,25,0,0,250,0,0,0,0,0
"97","24560232","DA","Saint-Jean-sur-Richelieu",0.13093,446,156,156,"2456083","2456","4590200.00","24459","0.24600000000000002",155,110,3.2,0,0,45,50,30,35,15,5,210,120,90,0,15,10,54757,56507,40595,0,30,0,0,50,50,35,50,45,0,0,0,0,0,0,0,0,0,20,50,25,30,20,0,7.9,420,25,0,0,385,150,0,50,0,0,0,0,0,74.1,0,1286,1199,250602,252479,25,0,0,821,786,0,45,50,80,20,35,260,0,60,0,40,0,45,0,60,35,0,20,200,15,30,0,0,0
"98","24560233","DA","Saint-Jean-sur-Richelieu",0.16138,492,184,184,"2456083","2456","4590200.00","24459","0.379",185,70,3,0,0,115,55,50,35,5,5,195,160,125,5,25,10,51762,61070,40292,0,20,30,25,55,40,85,25,20,0,0,0,0,0,0,40,0,30,30,20,0,0,0,0,23.5,460,30,0,0,265,310,0,0,0,0,0,0,0,90,0,1076,1081,212277,219886,85,0,29.4,824,842,0,75,50,45,0,40,245,0,95,25,0,0,30,0,80,0,0,0,210,0,0,0,0,0
"99","24560234","DA","Saint-Jean-sur-Richelieu",0.07027,520,194,191,"2456083","2456","4590200.00","24459","0.162",190,145,3,0,0,50,60,40,40,10,5,280,120,90,0,15,10,53226,69820,37950,45,25,65,10,50,70,50,65,20,0,0,0,0,0,0,0,0,10,0,40,50,40,30,10,13.5,510,0,0,0,425,150,0,0,0,0,0,0,0,78.8,17.6,1075,1076,234844,249885,10,0,0,897,901,55,50,95,90,0,70,340,0,65,25,0,20,35,0,115,50,0,0,305,0,0,0,0,0
"100","24560235","DA","Saint-Jean-sur-Richelieu",0.68516,633,240,240,"2456083","2456","4590200.00","24459","0.375",240,160,3,0,0,75,85,45,45,10,10,325,170,135,5,30,10,54960,57197,39531,55,0,25,45,60,85,70,85,50,0,0,0,0,0,0,0,20,25,40,45,30,60,40,0,7.1,620,0,0,0,480,295,0,0,0,0,0,0,0,86.4,15.9,1236,1221,250598,277021,20,0,0,882,951,20,130,50,50,0,95,340,20,150,15,40,50,70,0,40,25,0,0,280,0,35,0,0,0
"101","24560236","DA","Saint-Jean-sur-Richelieu",0.10844,635,225,224,"2456083","2456","4590200.00","24459","0.261",225,185,3.1,0,0,45,65,60,55,10,0,305,195,145,5,30,10,56004,77919,48477,35,30,65,0,75,80,45,70,60,20,0,0,0,0,0,0,15,30,30,30,40,65,40,25,3.1,615,25,0,15,435,340,30,0,20,0,0,0,0,74.4,9.1,1010,981,229615,228326,0,0,0,0,0,40,80,30,85,0,85,385,0,125,30,50,25,65,0,80,0,0,25,325,15,20,0,0,0
