"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"245","35240760","DA","Oakville",4.20322,51,17,17,"3524001","3524","5350612.10","35535",51,15,0,NA,NA
"246","35240761","DA","Oakville",0.41458,334,107,106,"3524001","3524","5350612.18","35535",334,85,0,315,30
"247","35240762","DA","Oakville",0.36633,533,154,152,"3524001","3524","5350612.19","35535",533,125,0,630,210
"248","35240765","DA","Oakville",0.07026,420,130,130,"3524001","3524","5350612.20","35535",420,80,0,425,205
"249","35240766","DA","Oakville",0.15015,1017,373,371,"3524001","3524","5350612.19","35535",1017,35,0,1030,430
"250","35240767","DA","Oakville",0.22173,879,250,249,"3524001","3524","5350612.11","35535",879,190,0,855,340
"251","35240768","DA","Oakville",0.1517,485,138,137,"3524001","3524","5350612.11","35535",485,135,0,410,115
"252","35240769","DA","Oakville",0.08615,465,135,134,"3524001","3524","5350612.11","35535",465,135,0,485,125
"253","35240770","DA","Oakville",1.06849,1172,308,300,"3524001","3524","5350612.24","35535",1172,280,0,1065,540
"254","35240771","DA","Oakville",0.15808,739,220,213,"3524001","3524","5350612.24","35535",739,85,0,760,510
"255","35240772","DA","Oakville",0.25871,901,226,223,"3524001","3524","5350612.24","35535",901,225,0,990,570
"256","35240773","DA","Oakville",0.17726,977,235,232,"3524001","3524","5350612.24","35535",977,230,0,975,450
"257","35240774","DA","Oakville",0.27617,906,277,276,"3524001","3524","5350612.24","35535",906,190,0,815,225
"258","35240776","DA","Oakville",0.19685,1579,718,609,"3524001","3524","5350612.24","35535",1579,135,280,1690,825
"259","35240777","DA","Oakville",0.19025,787,212,210,"3524001","3524","5350612.25","35535",787,205,0,770,375
"260","35240779","DA","Oakville",0.47064,918,252,246,"3524001","3524","5350612.25","35535",918,205,0,935,435
"261","35240786","DA","Oakville",0.68326,1396,797,657,"3524001","3524","5350612.26","35535",1396,0,255,1190,515
"262","35240787","DA","Oakville",0.21965,579,208,185,"3524001","3524","5350612.26","35535",579,40,0,425,165
"263","35240788","DA","Oakville",0.07341,638,231,229,"3524001","3524","5350612.26","35535",638,35,0,695,200
"264","35240789","DA","Oakville",0.08513,937,502,484,"3524001","3524","5350612.26","35535",937,45,265,1040,410
"265","35240790","DA","Oakville",0.0752,591,229,228,"3524001","3524","5350612.26","35535",591,45,0,560,185
"266","35240816","DA","Oakville",0.31188,502,204,200,"3524001","3524","5350612.08","35535",502,0,0,555,190
"267","35240817","DA","Oakville",0.14656,672,171,164,"3524001","3524","5350612.08","35535",672,135,0,560,205
"268","35240818","DA","Oakville",0.10411,581,152,151,"3524001","3524","5350612.08","35535",581,150,0,655,395
"269","35240819","DA","Oakville",0.28533,931,294,292,"3524001","3524","5350612.08","35535",931,120,0,920,440
"270","35240820","DA","Oakville",0.13447,660,215,215,"3524001","3524","5350612.08","35535",660,25,0,600,325
"271","35240848","DA","Oakville",0.48914,2769,831,805,"3524001","3524","5350612.21","35535",2769,325,0,2785,1250
"272","35240849","DA","Oakville",0.12091,884,241,236,"3524001","3524","5350612.22","35535",884,205,0,920,500
"273","35240850","DA","Oakville",0.23621,1030,284,281,"3524001","3524","5350612.21","35535",1030,245,0,1075,425
"274","35240851","DA","Oakville",0.11426,632,179,178,"3524001","3524","5350612.21","35535",632,130,0,605,280
"275","35240852","DA","Oakville",0.10536,632,198,196,"3524001","3524","5350612.23","35535",632,120,0,670,220
"276","35240853","DA","Oakville",0.50695,859,230,229,"3524001","3524","5350612.23","35535",859,220,0,770,220
"277","35240854","DA","Oakville",0.1285,646,167,167,"3524001","3524","5350612.22","35535",646,165,0,650,220
"278","35240855","DA","Oakville",0.13662,988,270,267,"3524001","3524","5350612.22","35535",988,270,0,970,480
"279","35240856","DA","Oakville",0.83387,3244,990,939,"3524001","3524","5350612.22","35535",3244,570,0,3265,1530
"280","35240857","DA","Oakville",0.07987,542,152,152,"3524001","3524","5350612.22","35535",542,155,0,530,245
"281","35240858","DA","Oakville",0.12755,392,106,106,"3524001","3524","5350612.23","35535",392,105,0,395,165
"282","35240859","DA","Oakville",0.12,716,193,189,"3524001","3524","5350612.24","35535",716,140,0,710,450
"283","35240861","DA","Oakville",0.19022,1066,291,287,"3524001","3524","5350612.25","35535",1066,280,0,1120,595
