"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"58","35240162","DA","Oakville",0.11444,468,140,140,"3524001","3524","5350600.02","35535",468,140,0,520,210
"59","35240165","DA","Oakville",0.3556,992,312,309,"3524001","3524","5350612.24","35535",992,240,0,970,340
"60","35240166","DA","Oakville",0.0956,398,122,122,"3524001","3524","5350612.25","35535",398,120,0,370,120
"61","35240167","DA","Oakville",0.16017,444,136,134,"3524001","3524","5350612.25","35535",444,130,0,480,190
"62","35240168","DA","Oakville",0.20981,713,250,249,"3524001","3524","5350614.02","35535",713,245,0,680,90
"63","35240169","DA","Oakville",0.11713,740,273,273,"3524001","3524","5350614.01","35535",740,25,0,855,270
"64","35240170","DA","Oakville",0.17288,463,168,167,"3524001","3524","5350612.25","35535",463,45,0,455,195
"65","35240171","DA","Oakville",0.09658,442,141,141,"3524001","3524","5350612.25","35535",442,105,0,440,130
"66","35240172","DA","Oakville",0.10892,449,137,137,"3524001","3524","5350612.25","35535",449,135,0,345,80
"67","35240173","DA","Oakville",0.11128,480,136,135,"3524001","3524","5350612.08","35535",480,135,0,510,140
"68","35240174","DA","Oakville",0.0607,227,74,74,"3524001","3524","5350612.08","35535",227,70,0,195,90
"69","35240175","DA","Oakville",0.29995,624,187,186,"3524001","3524","5350612.08","35535",624,180,0,590,185
"70","35240176","DA","Oakville",0.09492,393,124,123,"3524001","3524","5350612.08","35535",393,100,0,370,200
"71","35240177","DA","Oakville",0.11451,492,148,147,"3524001","3524","5350612.08","35535",492,130,0,455,145
"72","35240179","DA","Oakville",0.17147,511,156,155,"3524001","3524","5350612.27","35535",511,145,0,475,205
"73","35240180","DA","Oakville",0.05163,271,85,85,"3524001","3524","5350612.27","35535",271,50,0,250,95
"74","35240181","DA","Oakville",0.19791,595,216,212,"3524001","3524","5350612.27","35535",595,95,0,555,180
"75","35240182","DA","Oakville",0.08072,360,116,114,"3524001","3524","5350612.27","35535",360,85,0,380,155
"76","35240184","DA","Oakville",0.21571,1035,366,365,"3524001","3524","5350612.27","35535",1035,10,0,890,240
"77","35240188","DA","Oakville",0.10882,507,154,153,"3524001","3524","5350612.25","35535",507,105,0,505,90
"78","35240189","DA","Oakville",0.59269,1056,469,463,"3524001","3524","5350613.03","35535",1056,125,100,1055,315
"79","35240192","DA","Oakville",0.14356,599,197,193,"3524001","3524","5350613.04","35535",599,195,0,605,180
"80","35240193","DA","Oakville",0.14525,1054,477,407,"3524001","3524","5350613.04","35535",1054,45,210,1010,445
"81","35240194","DA","Oakville",0.30861,734,366,357,"3524001","3524","5350613.04","35535",734,35,210,645,95
"82","35240195","DA","Oakville",0.06273,588,260,251,"3524001","3524","5350613.04","35535",588,30,210,585,195
"83","35240196","DA","Oakville",0.15238,406,134,133,"3524001","3524","5350614.01","35535",406,130,0,390,10
"84","35240197","DA","Oakville",0.13322,506,178,178,"3524001","3524","5350614.01","35535",506,120,0,545,55
"85","35240198","DA","Oakville",0.13849,444,154,153,"3524001","3524","5350600.01","35535",444,155,0,420,70
"86","35240199","DA","Oakville",0.21466,519,162,161,"3524001","3524","5350600.01","35535",519,165,0,595,170
"87","35240200","DA","Oakville",0.22525,481,146,145,"3524001","3524","5350600.01","35535",481,145,0,425,50
"88","35240201","DA","Oakville",0.26003,426,132,130,"3524001","3524","5350600.01","35535",426,130,0,435,30
"89","35240202","DA","Oakville",0.5064,598,206,196,"3524001","3524","5350600.01","35535",598,195,0,625,145
"90","35240203","DA","Oakville",0.50527,527,182,167,"3524001","3524","5350602.00","35535",527,160,0,440,50
"91","35240204","DA","Oakville",0.36321,430,135,126,"3524001","3524","5350602.00","35535",430,125,0,430,80
"92","35240205","DA","Oakville",0.30789,393,132,122,"3524001","3524","5350602.00","35535",393,120,0,475,95
"93","35240206","DA","Oakville",0.40766,509,174,165,"3524001","3524","5350602.00","35535",509,160,0,560,45
