"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_1: Population, 2021","v_CA21_2: Population, 2016","v_CA21_386: Average age","v_CA21_907: Median after-tax income of household in 2020 ($)","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_818: Median total income in 2019 among recipients ($)"
"120","35240233","DA","35240233",0.2561,622,231,219,"3524001","3524","5350606.00","35535",622,NA,42.3,129000,49600,50400
"121","35240234","DA","35240234",0.4101,728,273,250,"3524001","3524","5350607.00","35535",728,NA,42,107000,47200,44800
"122","35240235","DA","35240235",0.2288,529,184,174,"3524001","3524","5350607.00","35535",529,NA,41.2,137000,54800,52800
"123","35240236","DA","35240236",0.145,444,147,140,"3524001","3524","5350607.00","35535",444,NA,40.7,108000,43600,39200
"124","35240237","DA","35240237",0.2699,510,183,178,"3524001","3524","5350607.00","35535",510,NA,43.7,112000,48800,46400
"125","35240238","DA","35240238",0.1739,343,133,128,"3524001","3524","5350607.00","35535",343,NA,43,89000,40400,39200
"126","35240239","DA","35240239",2.0141,514,193,182,"3524001","3524","5350607.00","35535",514,NA,43.7,90000,41200,40800
"127","35240240","DA","35240240",0.1774,448,170,159,"3524001","3524","5350608.00","35535",448,NA,41.6,91000,41200,41200
"128","35240241","DA","35240241",0.3253,607,204,194,"3524001","3524","5350608.00","35535",607,NA,39.4,113000,50800,49200
"129","35240242","DA","35240242",0.1997,623,139,136,"3524001","3524","5350608.00","35535",623,NA,41.5,118000,37600,32400
"130","35240243","DA","35240243",0.1725,497,175,161,"3524001","3524","5350608.00","35535",497,NA,39.9,98000,39200,38400
"131","35240244","DA","35240244",0.341,765,272,253,"3524001","3524","5350611.00","35535",765,NA,40.9,117000,47200,46000
"132","35240245","DA","35240245",0.1977,477,174,165,"3524001","3524","5350611.00","35535",477,NA,40.1,102000,45600,43200
"133","35240246","DA","35240246",0.2174,496,162,153,"3524001","3524","5350611.00","35535",496,NA,38.7,122000,46400,46000
"134","35240247","DA","35240247",0.0965,314,122,120,"3524001","3524","5350611.00","35535",314,NA,47.8,111000,54800,54800
"135","35240248","DA","35240248",0.2646,564,185,182,"3524001","3524","5350611.00","35535",564,NA,40.3,125000,47200,50000
"136","35240249","DA","35240249",0.1837,469,159,156,"3524001","3524","5350611.00","35535",469,NA,39,122000,60800,61200
"137","35240250","DA","35240250",0.1715,474,159,154,"3524001","3524","5350610.03","35535",474,NA,39.6,123000,59200,57600
"138","35240251","DA","35240251",0.2949,939,543,531,"3524001","3524","5350610.03","35535",939,NA,58.6,69000,50400,48800
"139","35240252","DA","35240252",0.2358,528,232,221,"3524001","3524","5350610.03","35535",528,NA,45,97000,50400,50400
"140","35240253","DA","35240253",0.077,861,528,500,"3524001","3524","5350610.03","35535",861,NA,54.2,65500,48000,46000
"141","35240254","DA","35240254",0.1758,350,184,172,"3524001","3524","5350610.03","35535",350,NA,44.4,71500,44000,42400
"142","35240255","DA","35240255",0.0806,996,606,578,"3524001","3524","5350610.04","35535",996,NA,71,52800,40000,38000
"143","35240256","DA","35240256",0.312,550,190,185,"3524001","3524","5350610.04","35535",550,NA,41.5,136000,51200,43200
"144","35240257","DA","35240257",0.0991,453,194,184,"3524001","3524","5350610.04","35535",453,NA,42.2,103000,50400,47200
"145","35240258","DA","35240258",0.0629,214,96,94,"3524001","3524","5350610.04","35535",214,NA,56,NA,NA,NA
"146","35240259","DA","35240259",0.144,1411,929,895,"3524001","3524","5350610.03","35535",1411,NA,66.4,68000,49600,48800
"147","35240263","DA","35240263",0.1164,373,132,127,"3524001","3524","5350610.05","35535",373,NA,39,119000,60400,58800
"148","35240265","DA","35240265",0.1107,377,132,131,"3524001","3524","5350610.05","35535",377,NA,44.5,121000,50000,52400
"149","35240266","DA","35240266",0.2746,531,181,179,"3524001","3524","5350610.05","35535",531,NA,41.1,126000,55600,57600
"150","35240267","DA","35240267",8.031,51,18,17,"3524001","3524","5350612.01","35535",51,NA,44,NA,NA,NA
"151","35240268","DA","35240268",0.9418,815,278,276,"3524001","3524","5350611.00","35535",815,NA,42.6,112000,49600,47200
"152","35240269","DA","35240269",2.6202,807,283,276,"3524001","3524","5350611.00","35535",807,NA,42.3,115000,49200,48800
"153","35240270","DA","35240270",0.5218,571,210,199,"3524001","3524","5350608.00","35535",571,NA,42.2,90000,41600,38000
"154","35240271","DA","35240271",0.0889,318,107,106,"3524001","3524","5350611.00","35535",318,NA,42,118000,53200,56400
"155","35240272","DA","35240272",2.937,1430,547,536,"3524001","3524","5350612.03","35535",1430,NA,41.7,102000,55600,54400
"156","35240273","DA","35240273",0.0589,251,80,80,"3524001","3524","5350612.03","35535",251,NA,42,157000,57600,52000
"157","35240274","DA","35240274",0.1387,498,167,155,"3524001","3524","5350612.03","35535",498,NA,37.1,103000,40400,38800
"158","35240275","DA","35240275",0.157,572,164,163,"3524001","3524","5350612.03","35535",572,NA,42,135000,39200,39200
"159","35240276","DA","35240276",0.2116,486,145,145,"3524001","3524","5350612.03","35535",486,NA,41.2,146000,52000,52800
"160","35240277","DA","35240277",0.1153,642,249,236,"3524001","3524","5350612.03","35535",642,NA,39.2,63600,31800,29400
"161","35240278","DA","35240278",0.0626,265,81,80,"3524001","3524","5350612.03","35535",265,NA,42.6,132000,41200,42400
"162","35240279","DA","35240279",0.141,475,155,154,"3524001","3524","5350612.03","35535",475,NA,41.8,112000,40000,42400
"163","35240280","DA","35240280",0.0983,581,188,182,"3524001","3524","5350612.03","35535",581,NA,37.5,105000,42400,42000
"164","35240281","DA","35240281",0.1361,562,173,169,"3524001","3524","5350612.03","35535",562,NA,40.4,172000,53200,50000
"165","35240282","DA","35240282",0.0871,346,104,102,"3524001","3524","5350612.03","35535",346,NA,38.9,139000,40400,39200
"166","35240284","DA","35240284",0.498,1274,528,513,"3524001","3524","5350612.14","35535",1274,NA,39.8,80000,42400,39600
"167","35240285","DA","35240285",0.3008,593,175,173,"3524001","3524","5350612.14","35535",593,NA,39.7,164000,54800,50400
"168","35240286","DA","35240286",0.439,780,247,240,"3524001","3524","5350612.13","35535",780,NA,40.6,151000,55200,54400
"169","35240287","DA","35240287",0.1578,606,188,184,"3524001","3524","5350612.13","35535",606,NA,41.1,133000,50800,52400
"170","35240288","DA","35240288",0.0952,363,117,115,"3524001","3524","5350612.13","35535",363,NA,39.5,144000,51200,50000
"171","35240289","DA","35240289",0.2719,954,465,457,"3524001","3524","5350612.13","35535",954,NA,42.9,70500,48000,47200
"172","35240290","DA","35240290",0.1236,572,256,254,"3524001","3524","5350612.13","35535",572,NA,56,88000,50400,48400
"173","35240291","DA","35240291",0.2353,544,179,178,"3524001","3524","5350612.05","35535",544,NA,41.4,143000,59200,56400
"174","35240292","DA","35240292",0.2694,951,305,301,"3524001","3524","5350612.05","35535",951,NA,47.6,113000,50000,54000
"175","35240293","DA","35240293",1.2844,716,282,278,"3524001","3524","5350612.05","35535",716,NA,49.1,127000,54800,54000
"176","35240297","DA","35240297",0.0868,403,147,146,"3524001","3524","5350612.05","35535",403,NA,44.8,91000,38000,34800
"177","35240298","DA","35240298",0.3467,661,216,213,"3524001","3524","5350612.05","35535",661,NA,43.1,166000,64000,66000
"178","35240299","DA","35240299",0.2253,600,194,194,"3524001","3524","5350612.05","35535",600,NA,44.3,148000,54800,61600
"179","35240301","DA","35240301",0.9905,1084,361,357,"3524001","3524","5350612.14","35535",1084,NA,40.5,124000,45600,47600
"180","35240302","DA","35240302",0.1603,629,187,185,"3524001","3524","5350612.14","35535",629,NA,39.6,134000,47600,46000
"181","35240303","DA","35240303",0.0917,407,126,125,"3524001","3524","5350612.14","35535",407,NA,40.1,118000,45200,41600
"182","35240304","DA","35240304",0.1297,488,153,153,"3524001","3524","5350612.13","35535",488,NA,42,136000,53600,49200
"183","35240305","DA","35240305",0.0737,324,99,99,"3524001","3524","5350612.14","35535",324,NA,39.3,121000,49600,48000
"184","35240307","DA","35240307",0.1042,1008,423,415,"3524001","3524","5350612.05","35535",1008,NA,36.5,49600,28600,23800
"185","35240510","DA","35240510",0.1603,547,188,186,"3524001","3524","5350610.06","35535",547,NA,43.3,126000,53600,54800
"186","35240577","DA","35240577",0.6841,627,217,202,"3524001","3524","5350609.00","35535",627,NA,41.2,144000,56000,54000
"187","35240578","DA","35240578",0.396,584,197,185,"3524001","3524","5350609.00","35535",584,NA,40.8,141000,53200,51200
"188","35240579","DA","35240579",0.4339,511,201,195,"3524001","3524","5350609.00","35535",511,NA,47.1,81000,41200,40000
"189","35240580","DA","35240580",0.3265,609,202,193,"3524001","3524","5350609.00","35535",609,NA,40.2,147000,48000,52800
"190","35240581","DA","35240581",0.316,612,189,187,"3524001","3524","5350609.00","35535",612,NA,39.5,150000,52000,53600
"191","35240582","DA","35240582",0.2216,493,191,185,"3524001","3524","5350610.04","35535",493,NA,45.1,89000,42400,39200
"192","35240583","DA","35240583",0.2159,522,189,174,"3524001","3524","5350610.04","35535",522,NA,42.5,127000,57200,54800
"193","35240584","DA","35240584",0.3688,669,272,253,"3524001","3524","5350605.00","35535",669,NA,44.6,110000,47600,48400
"194","35240585","DA","35240585",0.8123,805,329,314,"3524001","3524","5350605.00","35535",805,NA,51.3,164000,70000,76500
"195","35240586","DA","35240586",0.2036,532,231,222,"3524001","3524","5350605.00","35535",532,NA,45.3,97000,48400,46400
"196","35240587","DA","35240587",0.1439,538,299,284,"3524001","3524","5350605.00","35535",538,NA,54.8,78500,49600,47600
"197","35240588","DA","35240588",0.0729,248,178,146,"3524001","3524","5350603.00","35535",248,NA,58,NA,NA,NA
"198","35240589","DA","35240589",0.1498,856,519,504,"3524001","3524","5350603.00","35535",856,NA,56.8,32400,26600,24200
"199","35240600","DA","35240600",2.1642,1025,392,380,"3524001","3524","5350614.02","35535",1025,NA,41.3,96000,45600,46000
"200","35240601","DA","35240601",0.6641,1856,966,895,"3524001","3524","5350613.04","35535",1856,NA,45.1,53200,30400,26600
"201","35240602","DA","35240602",0.7209,870,305,302,"3524001","3524","5350612.05","35535",870,NA,41.6,108000,45200,45200
"202","35240604","DA","35240604",0.1181,396,124,123,"3524001","3524","5350612.12","35535",396,NA,37.5,140000,60400,56000
"203","35240605","DA","35240605",0.0999,439,139,139,"3524001","3524","5350612.12","35535",439,NA,40.3,145000,50800,49600
"204","35240606","DA","35240606",0.0804,369,112,110,"3524001","3524","5350612.12","35535",369,NA,38.2,168000,58400,63600
"205","35240607","DA","35240607",0.127,592,196,193,"3524001","3524","5350612.12","35535",592,NA,39.1,119000,44400,47200
"206","35240608","DA","35240608",0.0621,321,99,99,"3524001","3524","5350612.12","35535",321,NA,39.4,130000,53200,53600
"207","35240609","DA","35240609",0.1117,439,130,129,"3524001","3524","5350612.12","35535",439,NA,37.9,151000,46000,47600
"208","35240610","DA","35240610",0.1707,409,127,126,"3524001","3524","5350612.27","35535",409,NA,41.6,158000,56000,55600
"209","35240611","DA","35240611",0.2353,1051,333,332,"3524001","3524","5350612.27","35535",1051,NA,35.3,132000,56400,56800
"210","35240612","DA","35240612",0.0674,349,110,109,"3524001","3524","5350612.27","35535",349,NA,40.4,139000,50000,50400
"211","35240613","DA","35240613",0.2169,469,145,143,"3524001","3524","5350612.27","35535",469,NA,36.7,156000,56000,54800
"212","35240614","DA","35240614",0.1672,369,111,110,"3524001","3524","5350612.27","35535",369,NA,39.3,132000,48400,45600
"213","35240615","DA","35240615",0.2346,924,322,317,"3524001","3524","5350613.03","35535",924,NA,39.8,107000,43600,42400
"214","35240616","DA","35240616",0.2355,565,183,183,"3524001","3524","5350600.02","35535",565,NA,41,122000,49600,50400
"215","35240619","DA","35240619",1.2597,1269,411,404,"3524001","3524","5350612.11","35535",1269,NA,40.7,148000,56000,58400
"216","35240620","DA","35240620",0.1717,381,117,116,"3524001","3524","5350612.11","35535",381,NA,42.3,136000,52800,54000
