"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_1: Population, 2021","v_CA21_2: Population, 2016","v_CA21_386: Average age","v_CA21_907: Median after-tax income of household in 2020 ($)","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_818: Median total income in 2019 among recipients ($)"
"267","35240851","DA","35240851",0.1143,652,180,179,"3524001","3524","5350612.21","35535",652,NA,36,145000,49200,52800
"268","35240852","DA","35240852",0.1054,619,197,196,"3524001","3524","5350612.23","35535",619,NA,37.8,111000,46400,47600
"269","35240853","DA","35240853",0.507,873,231,229,"3524001","3524","5350612.23","35535",873,NA,37.1,156000,50000,48400
"270","35240854","DA","35240854",0.1285,610,167,167,"3524001","3524","5350612.22","35535",610,NA,35.4,174000,60800,57600
"271","35240855","DA","35240855",0.1366,1001,269,268,"3524001","3524","5350612.22","35535",1001,NA,33.2,150000,52800,57600
"272","35240857","DA","35240857",0.0799,503,152,149,"3524001","3524","5350612.22","35535",503,NA,36.4,132000,46800,46000
"273","35240858","DA","35240858",0.1275,367,106,105,"3524001","3524","5350612.23","35535",367,NA,35.1,133000,54000,53200
"274","35240859","DA","35240859",0.12,723,193,192,"3524001","3524","5350612.29","35535",723,NA,34,136000,42800,49200
"275","35240861","DA","35240861",0.1902,1086,291,289,"3524001","3524","5350612.25","35535",1086,NA,36.4,134000,41200,40400
"276","35240952","DA","35240952",27.3068,1255,556,420,"3524001","3524","5350615.00","35535",1255,NA,35,103000,42400,40000
"277","35240953","DA","35240953",5.6372,967,282,270,"3524001","3524","5350615.00","35535",967,NA,34.4,114000,37600,36800
"278","35240954","DA","35240954",0.2283,995,347,332,"3524001","3524","5350615.00","35535",995,NA,31.2,103000,50000,44800
"279","35240955","DA","35240955",0.1346,915,253,244,"3524001","3524","5350615.00","35535",915,NA,32.5,109000,37200,30000
"280","35240956","DA","35240956",0.149,554,233,220,"3524001","3524","5350615.00","35535",554,NA,33,95000,58000,52800
"281","35240957","DA","35240957",1.782,1701,532,484,"3524001","3524","5350615.00","35535",1701,NA,31.9,122000,48800,52000
