"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_247: 65 to 69 years","v_CA16_265: 70 to 74 years","v_CA16_283: 75 to 79 years","v_CA16_301: 80 to 84 years","v_CA16_319: 85 years and over","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2207: Median total income in 2015 among recipients ($)"
"33","35240135","DA","Oakville",0.75136,616,222,207,"3524001","3524","5350601.00","35535",25,45,45,70,40,20,15,25,60,60,40,60,40,20,20,15,15,15,38080,44864
"34","35240136","DA","Oakville",0.18757,469,151,143,"3524001","3524","5350601.00","35535",10,35,55,50,35,5,5,10,30,55,45,45,25,15,20,15,10,5,41568,49792
"35","35240137","DA","Oakville",0.2875,519,160,156,"3524001","3524","5350601.00","35535",20,45,45,55,35,15,10,15,45,50,55,45,15,25,20,10,5,5,43904,50944
"36","35240138","DA","Oakville",0.34162,437,146,140,"3524001","3524","5350601.00","35535",10,25,55,35,30,15,10,5,40,45,30,40,25,15,20,10,15,10,60032,66688
"37","35240139","DA","Oakville",0.27739,444,142,138,"3524001","3524","5350601.00","35535",10,30,40,45,30,15,5,15,35,35,45,45,25,15,15,15,10,10,51115,56064
"38","35240140","DA","Oakville",0.51396,523,191,172,"3524001","3524","5350601.00","35535",10,20,40,65,50,20,5,15,20,50,55,50,35,40,25,25,15,0,42368,48768
"39","35240141","DA","Oakville",0.34492,426,128,121,"3524001","3524","5350601.00","35535",10,35,50,55,30,10,5,10,25,55,35,35,15,10,15,10,15,10,40064,46720
"40","35240142","DA","Oakville",0.27114,444,139,132,"3524001","3524","5350600.01","35535",20,30,35,55,35,15,5,10,25,40,35,45,35,10,20,10,10,5,46421,52608
"41","35240143","DA","Oakville",0.23519,539,182,172,"3524001","3524","5350600.01","35535",10,50,40,50,40,20,10,25,35,50,55,45,25,25,20,15,15,10,34816,39168
"42","35240144","DA","Oakville",0.35749,559,190,185,"3524001","3524","5350600.01","35535",15,35,50,60,35,10,10,15,40,55,40,50,35,35,30,20,15,10,46592,57664
"43","35240145","DA","Oakville",0.18114,544,196,196,"3524001","3524","5350600.01","35535",25,40,35,45,30,10,10,20,45,35,40,45,45,35,35,30,20,5,45312,53120
"44","35240146","DA","Oakville",0.19894,514,164,164,"3524001","3524","5350600.01","35535",25,30,40,45,45,15,10,25,35,40,50,35,40,30,25,15,10,5,50432,58624
"45","35240147","DA","Oakville",1.73118,656,217,214,"3524001","3524","5350600.01","35535",15,60,70,50,35,20,15,25,50,75,55,45,50,35,35,20,5,0,50304,58752
"46","35240148","DA","Oakville",0.62929,578,181,180,"3524001","3524","5350600.01","35535",20,35,45,70,40,10,10,25,35,45,55,50,35,45,20,15,5,10,43520,50304
"47","35240150","DA","Oakville",0.07942,460,150,149,"3524001","3524","5350600.02","35535",25,35,30,30,50,20,30,25,40,30,55,35,25,15,15,10,5,5,36224,40448
"48","35240152","DA","Oakville",0.16243,534,167,166,"3524001","3524","5350600.02","35535",15,30,25,50,50,25,30,15,40,40,45,65,50,30,10,10,5,5,36416,40896
"49","35240153","DA","Oakville",0.07438,353,107,106,"3524001","3524","5350600.02","35535",20,25,15,20,30,20,15,25,25,20,30,35,30,25,10,10,0,0,33664,38784
"50","35240154","DA","Oakville",0.10668,501,145,143,"3524001","3524","5350600.02","35535",30,35,40,25,35,35,15,25,40,30,40,50,35,25,20,10,10,5,39253,42688
"51","35240155","DA","Oakville",0.08198,447,144,143,"3524001","3524","5350600.02","35535",15,35,35,35,30,20,10,25,30,45,45,35,35,35,15,10,5,5,33664,37824
"52","35240156","DA","Oakville",0.26246,598,177,177,"3524001","3524","5350600.02","35535",25,35,30,40,50,30,40,20,45,50,50,45,35,40,30,20,10,5,32640,35456
"53","35240157","DA","Oakville",0.59556,460,125,125,"3524001","3524","5350600.02","35535",25,35,35,35,30,25,20,30,30,40,35,45,25,25,15,10,10,0,35200,38784
"54","35240158","DA","Oakville",0.10573,430,124,124,"3524001","3524","5350600.02","35535",20,20,25,35,25,25,15,20,25,45,30,40,35,30,15,10,5,5,40661,46464
"55","35240159","DA","Oakville",0.10274,395,117,117,"3524001","3524","5350600.02","35535",15,20,30,40,35,15,15,15,15,45,30,40,30,20,15,15,5,5,32448,35200
