"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_247: 65 to 69 years","v_CA16_265: 70 to 74 years","v_CA16_283: 75 to 79 years","v_CA16_301: 80 to 84 years","v_CA16_319: 85 years and over","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2207: Median total income in 2015 among recipients ($)"
"129","35240242","DA","Oakville",0.19969,609,137,136,"3524001","3524","5350608.00","35535",25,35,35,55,35,30,30,60,55,50,50,20,20,10,15,10,15,65,24149,25856
"130","35240243","DA","Oakville",0.17252,507,173,165,"3524001","3524","5350608.00","35535",35,30,25,30,35,25,25,40,45,30,55,25,20,25,20,10,15,15,29632,32464
"131","35240244","DA","Oakville",0.34099,768,267,262,"3524001","3524","5350611.00","35535",40,45,45,55,55,30,30,55,60,65,75,45,30,30,25,35,20,20,32192,35808
"132","35240245","DA","Oakville",0.19771,495,176,174,"3524001","3524","5350611.00","35535",20,45,30,35,25,20,20,30,40,45,40,50,30,20,15,15,10,15,36896,42048
"133","35240246","DA","Oakville",0.21742,475,160,156,"3524001","3524","5350611.00","35535",20,30,40,40,25,15,10,35,35,45,45,30,25,25,15,10,20,10,39680,45440
"134","35240247","DA","Oakville",0.09647,328,122,121,"3524001","3524","5350611.00","35535",5,20,20,25,15,5,10,10,35,30,30,20,35,20,15,10,15,5,38336,43456
"135","35240248","DA","Oakville",0.26463,541,179,178,"3524001","3524","5350611.00","35535",25,25,55,45,25,20,20,30,40,50,45,55,35,20,10,15,20,10,43392,49792
"136","35240249","DA","Oakville",0.18369,464,158,158,"3524001","3524","5350611.00","35535",25,30,35,40,25,15,15,25,40,40,35,25,30,25,35,20,5,5,41920,49280
"137","35240250","DA","Oakville",0.17152,444,159,149,"3524001","3524","5350610.03","35535",30,25,30,25,30,20,20,25,40,40,50,35,10,20,20,10,15,10,36992,42112
"138","35240251","DA","Oakville",0.31058,851,474,463,"3524001","3524","5350610.03","35535",20,30,30,25,30,25,20,40,35,45,65,50,65,55,75,75,85,100,36992,42560
"139","35240252","DA","Oakville",0.23578,539,314,256,"3524001","3524","5350610.03","35535",15,15,15,30,30,30,25,30,20,45,40,55,40,35,25,30,10,45,37589,43597
"140","35240253","DA","Oakville",0.07696,884,527,495,"3524001","3524","5350610.03","35535",15,25,25,25,50,40,45,45,40,55,85,90,95,75,65,50,25,25,35968,41216
"141","35240254","DA","Oakville",0.17584,413,201,190,"3524001","3524","5350610.03","35535",15,15,20,20,30,25,30,15,35,30,40,35,35,25,15,10,5,0,32448,36288
"142","35240255","DA","Oakville",0.08057,1050,607,598,"3524001","3524","5350610.04","35535",15,10,10,15,5,15,20,20,20,20,30,30,55,105,130,165,175,215,30382,32981
"143","35240256","DA","Oakville",0.31205,541,180,179,"3524001","3524","5350610.04","35535",25,45,45,35,30,15,10,25,45,45,40,40,30,30,25,20,10,15,38080,43008
"144","35240257","DA","Oakville",0.09908,512,213,211,"3524001","3524","5350610.04","35535",15,25,30,40,30,20,15,35,30,35,55,45,40,45,20,10,10,5,36480,43392
"145","35240258","DA","Oakville",0.05967,137,64,61,"3524001","3524","5350610.04","35535",5,5,5,5,10,5,0,5,5,10,10,15,10,20,15,10,10,0,NA,NA
"146","35240259","DA","Oakville",0.23592,1402,945,899,"3524001","3524","5350610.03","35535",10,10,10,15,30,40,50,20,40,60,75,75,110,160,160,190,170,180,39509,46336
"147","35240260","DA","Oakville",0.45399,815,397,349,"3524001","3524","5350610.02","35535",30,25,30,45,45,25,20,30,40,65,80,95,85,55,60,45,20,10,48320,56896
"148","35240261","DA","Oakville",0.12252,310,122,120,"3524001","3524","5350610.02","35535",10,10,20,25,25,10,10,10,10,25,40,35,30,20,10,10,5,0,46016,53632
"149","35240262","DA","Oakville",0.10266,359,131,130,"3524001","3524","5350610.02","35535",15,20,15,20,20,15,15,25,20,30,35,35,40,15,10,10,5,0,39168,45056
"150","35240263","DA","Oakville",0.11641,386,132,131,"3524001","3524","5350610.02","35535",30,35,20,20,20,25,25,25,25,40,30,35,30,15,15,5,5,5,45440,53632
"151","35240265","DA","Oakville",0.11066,396,132,130,"3524001","3524","5350610.02","35535",20,25,20,30,35,20,15,20,30,30,35,35,30,25,15,10,5,5,37568,42368
"152","35240266","DA","Oakville",0.29846,478,166,162,"3524001","3524","5350610.02","35535",15,35,30,35,30,20,15,25,40,35,40,60,35,25,20,5,0,5,46208,54229
"153","35240267","DA","Oakville",8.08113,68,20,19,"3524001","3524","5350612.01","35535",5,5,5,5,5,5,5,0,5,5,5,5,0,0,0,0,0,5,NA,NA
"154","35240268","DA","Oakville",0.93654,795,276,272,"3524001","3524","5350611.00","35535",40,40,55,60,45,20,25,45,60,55,75,60,45,45,45,40,30,10,36523,41600
"155","35240269","DA","Oakville",2.62015,875,308,307,"3524001","3524","5350611.00","35535",20,50,45,65,60,35,35,40,50,75,75,90,55,50,50,40,30,15,35328,39232
"156","35240270","DA","Oakville",0.52438,555,223,204,"3524001","3524","5350608.00","35535",15,30,30,30,35,30,25,40,35,50,35,40,40,25,25,30,15,15,28864,31168
"157","35240271","DA","Oakville",0.08887,251,91,90,"3524001","3524","5350611.00","35535",10,15,15,5,15,10,5,15,15,20,15,25,25,25,15,10,0,5,NA,NA
"158","35240272","DA","Oakville",2.96302,1375,544,498,"3524001","3524","5350612.03","35535",50,65,105,125,110,60,50,75,100,120,150,100,80,85,40,30,30,15,41643,46848
"159","35240273","DA","Oakville",0.05891,287,80,80,"3524001","3524","5350612.03","35535",5,20,25,25,35,0,0,10,25,25,35,25,20,15,10,5,5,5,44672,49856
"160","35240274","DA","Oakville",0.13869,514,167,162,"3524001","3524","5350612.03","35535",35,45,45,55,25,30,25,30,25,45,40,40,25,20,10,10,0,5,32085,34901
"161","35240275","DA","Oakville",0.15702,572,164,162,"3524001","3524","5350612.03","35535",15,35,45,50,45,25,20,20,40,60,50,45,40,40,15,10,5,5,30827,33472
"162","35240276","DA","Oakville",0.21165,497,145,145,"3524001","3524","5350612.03","35535",10,35,30,50,50,25,5,15,30,40,45,55,35,20,25,10,5,5,38016,43477
"163","35240277","DA","Oakville",0.11527,664,252,250,"3524001","3524","5350612.03","35535",35,60,45,50,50,40,30,40,50,50,45,50,45,20,20,10,10,0,22861,23424
"164","35240278","DA","Oakville",0.06256,276,80,80,"3524001","3524","5350612.03","35535",5,20,35,20,25,10,5,10,15,30,30,15,15,20,5,10,5,5,36224,38560
"165","35240279","DA","Oakville",0.14096,517,155,155,"3524001","3524","5350612.03","35535",15,30,50,50,40,15,10,20,55,45,55,35,35,30,15,15,5,5,34859,38485
"166","35240280","DA","Oakville",0.0983,585,188,188,"3524001","3524","5350612.03","35535",35,55,60,40,30,25,35,40,60,50,45,40,30,20,5,10,0,0,33600,36608
"167","35240281","DA","Oakville",0.13607,594,173,168,"3524001","3524","5350612.03","35535",20,35,45,75,50,30,10,20,40,60,65,60,35,25,10,5,5,5,41984,48768
"168","35240282","DA","Oakville",0.08709,368,104,104,"3524001","3524","5350612.03","35535",5,25,40,30,35,15,0,10,40,30,35,30,30,15,10,5,0,0,37760,41792
"169","35240284","DA","Oakville",0.50289,1221,526,520,"3524001","3524","5350612.14","35535",40,70,90,90,80,65,65,70,85,135,90,115,80,55,35,25,10,10,34944,39040
"170","35240285","DA","Oakville",0.29961,604,176,175,"3524001","3524","5350612.14","35535",15,30,60,70,60,25,15,20,45,60,65,60,35,20,15,10,10,5,39808,46336
"171","35240286","DA","Oakville",0.44021,827,248,247,"3524001","3524","5350612.13","35535",30,60,45,85,75,30,25,40,50,60,80,85,55,50,15,25,15,5,40149,45696
"172","35240287","DA","Oakville",0.15783,629,188,187,"3524001","3524","5350612.13","35535",20,45,55,45,60,15,10,25,35,55,60,55,45,55,25,15,5,5,40704,46336
"173","35240288","DA","Oakville",0.09516,386,118,115,"3524001","3524","5350612.13","35535",20,25,35,25,30,20,5,15,35,25,45,35,25,10,10,5,5,0,41344,46464
"174","35240289","DA","Oakville",0.26696,917,467,457,"3524001","3524","5350612.13","35535",25,30,45,50,50,70,70,50,80,75,80,60,55,45,45,50,30,10,35430,40064
"175","35240290","DA","Oakville",0.12356,559,255,253,"3524001","3524","5350612.13","35535",10,15,35,25,30,20,10,15,15,25,35,60,35,45,50,45,45,40,39893,44864
"176","35240291","DA","Oakville",0.23529,552,177,177,"3524001","3524","5350612.05","35535",35,45,25,35,40,25,15,35,30,55,35,50,40,40,30,10,5,5,41728,47104
"177","35240292","DA","Oakville",0.27462,998,308,305,"3524001","3524","5350612.05","35535",35,65,45,70,70,40,25,50,55,65,75,100,65,50,20,30,30,115,38571,42624
"178","35240293","DA","Oakville",1.34061,762,285,283,"3524001","3524","5350612.05","35535",20,30,30,70,60,20,20,20,35,55,90,65,65,70,55,40,10,10,48000,57344
"179","35240297","DA","Oakville",0.0868,405,147,146,"3524001","3524","5350612.05","35535",15,25,25,30,30,15,20,25,25,25,35,35,40,25,20,10,5,5,30880,34432
"180","35240298","DA","Oakville",0.34666,687,215,214,"3524001","3524","5350612.05","35535",25,35,50,70,70,20,10,30,40,60,60,65,40,50,30,15,15,5,44672,51776
"181","35240299","DA","Oakville",0.22534,617,195,194,"3524001","3524","5350612.05","35535",25,40,45,45,30,25,20,40,35,50,55,60,45,55,20,15,10,5,46208,54912
"182","35240301","DA","Oakville",0.99054,1076,359,356,"3524001","3524","5350612.14","35535",55,40,90,100,80,25,40,60,75,125,95,85,75,45,45,25,15,10,34112,38624
"183","35240302","DA","Oakville",0.1603,639,188,187,"3524001","3524","5350612.14","35535",40,40,40,55,55,25,30,40,45,65,50,45,55,15,15,10,5,5,37803,44032
"184","35240303","DA","Oakville",0.09167,406,126,124,"3524001","3524","5350612.14","35535",10,15,50,35,30,20,15,15,25,35,30,40,25,25,10,5,5,5,30016,33408
"185","35240304","DA","Oakville",0.12965,493,153,151,"3524001","3524","5350612.13","35535",20,30,40,40,40,15,10,15,35,35,45,50,45,35,15,10,5,10,44800,50560
"186","35240305","DA","Oakville",0.07365,315,99,99,"3524001","3524","5350612.14","35535",15,20,30,20,20,15,15,10,25,30,25,15,30,20,15,5,5,0,43648,51328
"187","35240307","DA","Oakville",0.10416,974,423,395,"3524001","3524","5350612.05","35535",75,75,65,70,60,55,65,80,60,75,80,65,45,45,30,10,10,5,20267,20416
"188","35240510","DA","Oakville",0.16033,546,190,189,"3524001","3524","5350610.02","35535",25,40,25,30,25,20,30,40,35,40,50,45,40,35,25,15,10,10,41088,48128
"189","35240577","DA","Oakville",0.67785,569,199,182,"3524001","3524","5350609.00","35535",15,40,40,55,40,30,5,20,45,45,50,50,25,30,30,10,20,10,40960,49664
"190","35240578","DA","Oakville",0.39603,540,188,185,"3524001","3524","5350609.00","35535",20,35,50,40,25,20,10,20,40,50,45,35,35,30,25,25,15,15,44544,52096
"191","35240579","DA","Oakville",0.43389,492,195,188,"3524001","3524","5350609.00","35535",20,25,40,40,20,15,5,20,35,40,35,20,35,15,25,35,30,30,32416,35968
"192","35240580","DA","Oakville",0.32645,580,199,192,"3524001","3524","5350609.00","35535",10,35,50,50,50,15,5,20,50,65,45,55,25,25,15,20,15,20,41216,45952
"193","35240581","DA","Oakville",0.31603,621,189,186,"3524001","3524","5350609.00","35535",25,50,65,55,30,20,10,30,65,65,65,55,30,25,10,10,15,10,44864,51328
"194","35240582","DA","Oakville",0.22156,492,193,189,"3524001","3524","5350610.04","35535",20,30,15,20,35,10,15,20,30,35,40,50,50,35,20,15,25,25,34219,38912
"195","35240583","DA","Oakville",0.21593,512,177,174,"3524001","3524","5350610.04","35535",25,40,35,40,30,10,15,35,40,40,45,40,15,30,20,10,20,10,44928,52800
"196","35240584","DA","Oakville",0.36802,620,267,243,"3524001","3524","5350605.00","35535",15,20,45,60,35,20,20,25,35,55,55,55,35,50,35,20,15,10,44928,52608
"197","35240585","DA","Oakville",0.81451,872,301,281,"3524001","3524","5350605.00","35535",20,30,40,55,65,40,10,20,30,45,70,70,65,55,60,55,45,100,64640,80640
"198","35240586","DA","Oakville",0.20361,510,239,211,"3524001","3524","5350605.00","35535",20,20,15,35,45,25,25,20,30,40,60,45,45,40,25,10,15,10,36651,40320
"199","35240587","DA","Oakville",0.14391,530,308,277,"3524001","3524","5350605.00","35535",5,5,15,25,30,15,15,25,20,30,45,65,40,60,50,40,25,25,38976,45408
"200","35240588","DA","Oakville",0.07437,238,179,139,"3524001","3524","5350603.00","35535",5,0,5,5,10,10,15,10,5,15,20,25,30,20,30,15,10,5,NA,NA
"201","35240589","DA","Oakville",0.14978,845,519,505,"3524001","3524","5350603.00","35535",35,25,15,25,20,20,35,35,40,45,55,55,45,75,85,105,70,55,21376,21547
"202","35240600","DA","Oakville",2.16424,1054,393,384,"3524001","3524","5350614.02","35535",40,65,55,70,65,85,50,60,70,95,80,90,60,60,50,25,20,10,34816,39424
"203","35240601","DA","Oakville",0.66656,1502,804,707,"3524001","3524","5350613.04","35535",45,50,55,100,185,135,80,85,65,95,80,100,75,75,85,60,75,60,26304,28608
"204","35240602","DA","Oakville",0.7209,876,306,303,"3524001","3524","5350612.05","35535",40,55,60,50,55,50,45,55,65,80,70,75,80,45,25,15,10,5,41165,47360
"205","35240603","DA","Oakville",1.90149,5586,1784,1761,"3524001","3524","5350610.02","35535",340,520,505,365,290,200,205,400,620,585,510,365,250,190,130,70,35,15,45170,51936
"206","35240604","DA","Oakville",0.11814,419,124,124,"3524001","3524","5350612.12","35535",25,20,30,50,40,15,10,25,30,45,70,30,10,5,5,5,5,0,39808,44096
"207","35240605","DA","Oakville",0.09992,461,138,137,"3524001","3524","5350612.12","35535",15,30,45,40,45,20,10,15,35,55,55,35,15,15,10,10,5,5,42368,49152
"208","35240606","DA","Oakville",0.08042,392,113,113,"3524001","3524","5350612.12","35535",20,20,35,40,45,10,10,25,30,45,45,40,15,0,0,0,0,0,38528,42837
"209","35240607","DA","Oakville",0.12698,635,195,195,"3524001","3524","5350612.12","35535",25,35,55,65,60,30,25,25,50,70,85,45,30,25,5,5,10,0,36224,40832
"210","35240608","DA","Oakville",0.06212,343,100,100,"3524001","3524","5350612.12","35535",15,25,25,40,30,15,15,15,20,25,40,35,15,0,10,5,5,5,41920,48000
"211","35240609","DA","Oakville",0.11242,456,129,129,"3524001","3524","5350612.12","35535",15,25,50,55,45,15,15,20,30,55,65,35,5,5,0,5,5,0,40128,47168
"212","35240610","DA","Oakville",0.17072,433,127,127,"3524001","3524","5350612.27","35535",10,20,25,40,55,20,15,15,30,25,45,65,25,10,15,5,5,5,38784,44672
"213","35240611","DA","Oakville",0.23532,594,173,170,"3524001","3524","5350612.27","35535",35,45,45,50,45,30,25,30,50,55,80,45,30,10,10,10,5,10,44224,50048
"214","35240612","DA","Oakville",0.0674,375,110,110,"3524001","3524","5350612.27","35535",15,25,30,40,25,15,20,25,25,35,40,25,20,10,10,10,0,5,37248,40320
"215","35240613","DA","Oakville",0.21687,506,156,156,"3524001","3524","5350612.27","35535",20,35,45,60,30,20,20,30,35,50,55,35,25,20,5,5,5,0,42560,48512
"216","35240614","DA","Oakville",0.16573,642,214,213,"3524001","3524","5350612.27","35535",25,40,45,55,50,25,35,35,50,45,75,65,40,15,15,15,0,0,39808,44928
"217","35240615","DA","Oakville",0.23464,928,332,322,"3524001","3524","5350613.03","35535",35,65,45,60,75,60,45,55,75,60,70,80,75,50,35,20,15,5,32448,36352
"218","35240616","DA","Oakville",0.22961,603,183,181,"3524001","3524","5350600.02","35535",20,40,45,50,50,35,30,20,45,65,45,65,35,20,20,5,10,5,39808,44587
"219","35240619","DA","Oakville",1.28857,1321,410,409,"3524001","3524","5350612.11","35535",30,95,130,115,110,45,35,50,95,155,165,95,60,70,40,20,5,5,45414,52736
"220","35240620","DA","Oakville",0.1717,409,117,117,"3524001","3524","5350612.11","35535",10,35,30,35,30,25,10,30,25,35,45,35,30,25,10,5,5,0,37504,42688
"221","35240687","DA","Oakville",4.0821,7111,2194,2167,"3524001","3524","5350612.15","35535",505,725,620,490,285,215,310,600,835,680,475,380,310,240,170,115,80,75,45184,51994
"222","35240688","DA","Oakville",0.14014,1017,335,329,"3524001","3524","5350612.22","35535",95,100,85,70,40,35,80,120,140,85,55,40,25,20,15,5,5,5,37376,41472
"223","35240689","DA","Oakville",0.09432,779,230,230,"3524001","3524","5350612.23","35535",55,80,90,60,30,25,35,70,90,95,55,30,20,20,15,10,10,5,38272,43392
"224","35240691","DA","Oakville",0.2696,966,242,241,"3524001","3524","5350612.23","35535",50,60,80,75,45,25,25,65,80,95,55,40,20,30,45,30,40,110,39552,45056
"225","35240695","DA","Oakville",0.07397,608,209,207,"3524001","3524","5350612.21","35535",40,60,55,50,25,30,45,45,65,60,45,35,20,20,5,5,5,0,38464,43456
"226","35240696","DA","Oakville",0.2295,759,212,207,"3524001","3524","5350612.21","35535",35,70,90,85,45,20,25,30,85,100,80,30,20,10,10,15,5,5,45376,51840
"227","35240697","DA","Oakville",0.21335,896,305,301,"3524001","3524","5350612.21","35535",45,95,70,55,60,30,45,50,110,75,80,65,40,20,25,15,10,0,41856,48000
"228","35240698","DA","Oakville",0.23189,1147,358,357,"3524001","3524","5350612.20","35535",55,95,130,90,65,45,40,55,115,130,110,50,55,35,30,25,15,10,41600,47744
"229","35240699","DA","Oakville",0.19222,1015,296,295,"3524001","3524","5350612.18","35535",50,110,115,90,40,35,45,70,110,130,85,55,25,20,15,15,5,0,43264,49664
"230","35240700","DA","Oakville",0.09839,587,182,180,"3524001","3524","5350612.19","35535",45,50,65,45,30,10,30,45,65,75,50,25,20,15,10,5,0,0,39872,44416
"231","35240701","DA","Oakville",0.09535,583,161,161,"3524001","3524","5350612.19","35535",25,55,70,65,30,15,20,45,55,80,55,20,15,10,10,5,5,5,45568,56960
"232","35240705","DA","Oakville",0.19237,697,226,226,"3524001","3524","5350612.19","35535",25,50,50,65,45,35,35,45,65,55,70,55,40,20,15,15,10,5,36608,40448
"233","35240706","DA","Oakville",0.1277,650,205,204,"3524001","3524","5350612.19","35535",35,50,60,50,45,25,40,45,55,75,70,40,25,20,10,10,0,5,30208,33195
"234","35240707","DA","Oakville",0.17684,754,216,216,"3524001","3524","5350612.20","35535",45,45,75,80,50,30,20,55,75,100,75,50,30,10,10,10,0,0,35968,38848
"235","35240708","DA","Oakville",0.20335,772,210,210,"3524001","3524","5350612.20","35535",30,55,110,90,55,15,10,35,85,85,85,60,25,10,5,10,5,5,48256,56192
"236","35240709","DA","Oakville",0.1883,693,222,221,"3524001","3524","5350612.20","35535",20,45,70,50,45,15,15,25,65,65,95,60,30,25,25,20,10,5,47424,54357
"237","35240710","DA","Oakville",0.1798,617,189,188,"3524001","3524","5350612.20","35535",20,35,55,50,45,35,20,40,45,60,65,50,30,30,20,10,5,5,37760,42112
"238","35240711","DA","Oakville",0.14146,679,206,205,"3524001","3524","5350612.23","35535",35,55,65,65,45,30,30,40,65,90,65,35,20,20,15,15,0,0,41856,47616
"239","35240712","DA","Oakville",0.09707,515,162,162,"3524001","3524","5350612.23","35535",15,45,40,35,35,30,30,35,45,60,35,40,30,15,10,5,0,5,38784,42368
"240","35240713","DA","Oakville",0.49461,880,266,265,"3524001","3524","5350612.18","35535",45,80,95,85,50,25,20,60,80,105,90,50,30,30,20,15,5,0,41600,46592
"241","35240714","DA","Oakville",0.10278,565,176,174,"3524001","3524","5350612.18","35535",35,50,60,45,20,15,30,45,85,60,45,20,15,15,10,10,0,0,46720,54912
"242","35240715","DA","Oakville",0.16601,933,312,312,"3524001","3524","5350612.18","35535",50,90,85,50,65,40,65,85,110,105,60,55,25,15,20,10,5,5,36779,40448
"243","35240716","DA","Oakville",0.23021,652,186,186,"3524001","3524","5350612.18","35535",30,65,75,45,35,25,15,45,85,70,55,30,25,15,20,5,0,5,42112,47360
"244","35240720","DA","Oakville",40.29309,6430,2103,1929,"3524001","3524","5350615.00","35535",620,610,510,420,300,375,545,705,660,540,370,265,170,120,100,65,35,20,38280,43194
"245","35240760","DA","Oakville",4.20322,51,17,17,"3524001","3524","5350612.10","35535",0,5,5,5,5,5,5,0,5,0,5,5,5,5,0,0,0,5,NA,NA
"246","35240761","DA","Oakville",0.41458,334,107,106,"3524001","3524","5350612.18","35535",15,10,30,40,40,10,0,10,15,30,55,30,15,20,10,5,5,0,47360,53120
"247","35240762","DA","Oakville",0.36633,533,154,152,"3524001","3524","5350612.19","35535",20,35,55,55,50,20,15,20,50,60,50,55,20,10,15,5,0,0,49152,59392
"248","35240765","DA","Oakville",0.07026,420,130,130,"3524001","3524","5350612.20","35535",25,35,50,35,25,10,25,30,35,55,35,20,10,10,10,5,5,0,42880,49664
"249","35240766","DA","Oakville",0.15015,1017,373,371,"3524001","3524","5350612.19","35535",60,60,70,80,65,45,65,65,90,95,95,80,50,40,35,20,10,5,37504,42112
"250","35240767","DA","Oakville",0.22173,879,250,249,"3524001","3524","5350612.11","35535",55,65,65,75,80,45,40,55,85,80,95,55,25,25,10,10,5,5,38272,42752
"251","35240768","DA","Oakville",0.1517,485,138,137,"3524001","3524","5350612.11","35535",15,30,60,60,25,15,15,15,35,80,60,25,15,10,0,5,0,0,48000,56768
"252","35240769","DA","Oakville",0.08615,465,135,134,"3524001","3524","5350612.11","35535",25,40,60,40,25,10,10,35,50,65,45,20,15,5,5,5,5,5,42240,47275
"253","35240770","DA","Oakville",1.06849,1172,308,300,"3524001","3524","5350612.24","35535",45,100,145,125,85,35,30,55,105,150,95,75,55,30,20,20,10,10,45952,53696
"254","35240771","DA","Oakville",0.15808,739,220,213,"3524001","3524","5350612.24","35535",40,90,95,50,40,10,30,60,100,100,40,25,15,15,20,10,5,5,41088,46080
"255","35240772","DA","Oakville",0.25871,901,226,223,"3524001","3524","5350612.24","35535",30,85,125,100,55,35,10,40,90,120,90,40,25,20,10,10,5,5,41216,47104
"256","35240773","DA","Oakville",0.17726,977,235,232,"3524001","3524","5350612.24","35535",45,110,135,95,65,30,25,45,110,130,70,45,25,15,15,10,5,0,44672,48512
"257","35240774","DA","Oakville",0.27617,906,277,276,"3524001","3524","5350612.24","35535",25,65,95,90,55,30,20,45,65,105,105,65,55,20,15,25,15,5,39168,46080
"258","35240776","DA","Oakville",0.19685,1579,718,609,"3524001","3524","5350612.24","35535",70,105,125,130,95,80,65,110,155,165,115,80,60,90,65,40,20,10,34458,37760
"259","35240777","DA","Oakville",0.19025,787,212,210,"3524001","3524","5350612.25","35535",30,80,95,80,40,25,10,40,90,120,55,30,15,20,15,15,10,5,43776,49280
"260","35240779","DA","Oakville",0.47064,918,252,246,"3524001","3524","5350612.25","35535",30,60,90,125,80,20,20,40,60,120,85,80,40,25,20,20,5,5,37760,41131
"261","35240786","DA","Oakville",0.68326,1396,797,657,"3524001","3524","5350612.26","35535",65,50,50,35,85,180,155,145,90,55,70,60,40,50,45,40,55,130,34714,38208
"262","35240787","DA","Oakville",0.21965,579,208,185,"3524001","3524","5350612.26","35535",30,30,40,20,40,40,50,30,45,40,30,25,15,5,15,15,25,80,39808,44885
"263","35240788","DA","Oakville",0.07341,638,231,229,"3524001","3524","5350612.26","35535",50,55,60,45,35,20,40,55,90,70,50,25,15,15,5,5,0,0,44629,52352
"264","35240789","DA","Oakville",0.08513,937,502,484,"3524001","3524","5350612.26","35535",40,45,50,45,50,70,80,85,70,90,85,70,40,35,30,25,20,10,40640,46272
"265","35240790","DA","Oakville",0.0752,591,229,228,"3524001","3524","5350612.26","35535",30,40,45,40,40,25,30,45,60,60,60,25,30,20,10,15,10,5,43264,49664
"266","35240816","DA","Oakville",0.31188,502,204,200,"3524001","3524","5350612.08","35535",35,30,20,35,30,20,40,45,45,50,35,40,20,25,15,15,0,5,34688,38528
"267","35240817","DA","Oakville",0.14656,672,171,164,"3524001","3524","5350612.08","35535",20,40,45,50,40,20,20,35,50,60,45,35,35,15,20,30,40,90,39808,43200
"268","35240818","DA","Oakville",0.10411,581,152,151,"3524001","3524","5350612.08","35535",25,40,40,55,55,30,30,25,45,65,75,40,25,10,10,10,5,0,28544,30976
"269","35240819","DA","Oakville",0.28533,931,294,292,"3524001","3524","5350612.08","35535",65,60,75,80,60,35,35,65,85,95,95,60,35,30,20,20,10,10,38528,43584
"270","35240820","DA","Oakville",0.13447,660,215,215,"3524001","3524","5350612.08","35535",35,65,55,65,60,35,40,40,40,50,60,45,30,20,10,5,5,0,25728,26048
"271","35240848","DA","Oakville",0.48914,2769,831,805,"3524001","3524","5350612.21","35535",215,305,320,205,125,105,175,260,330,295,170,90,60,50,40,20,10,5,39040,43968
"272","35240849","DA","Oakville",0.12091,884,241,236,"3524001","3524","5350612.22","35535",85,120,80,60,35,20,40,100,125,80,50,25,15,15,20,5,5,5,46891,54144
"273","35240850","DA","Oakville",0.23621,1030,284,281,"3524001","3524","5350612.21","35535",60,95,125,105,45,30,40,55,130,135,85,50,25,20,15,15,10,5,42453,47232
"274","35240851","DA","Oakville",0.11426,632,179,178,"3524001","3524","5350612.21","35535",30,65,85,50,35,10,20,35,85,80,55,30,15,5,5,0,5,0,40832,46976
"275","35240852","DA","Oakville",0.10536,632,198,196,"3524001","3524","5350612.23","35535",35,50,65,45,30,25,30,45,60,70,65,40,30,10,5,5,5,5,38272,42496
"276","35240853","DA","Oakville",0.50695,859,230,229,"3524001","3524","5350612.23","35535",40,70,100,100,50,20,20,35,95,115,85,50,25,15,15,10,10,0,44672,51840
"277","35240854","DA","Oakville",0.1285,646,167,167,"3524001","3524","5350612.22","35535",40,65,90,55,35,10,10,40,90,95,40,25,15,15,5,5,5,0,52096,61568
"278","35240855","DA","Oakville",0.13662,988,270,267,"3524001","3524","5350612.22","35535",90,145,110,55,20,20,50,105,155,105,50,35,15,15,10,5,5,0,50752,59776
"279","35240856","DA","Oakville",0.83387,3244,990,939,"3524001","3524","5350612.22","35535",240,315,360,285,140,125,185,310,380,360,200,120,80,55,30,30,10,10,41728,47872
"280","35240857","DA","Oakville",0.07987,542,152,152,"3524001","3524","5350612.22","35535",25,55,65,55,20,10,10,35,70,70,50,20,20,20,15,15,5,5,40405,46635
"281","35240858","DA","Oakville",0.12755,392,106,106,"3524001","3524","5350612.23","35535",25,40,40,40,15,10,15,35,65,35,25,15,10,10,5,5,0,0,43264,49024
"282","35240859","DA","Oakville",0.12,716,193,189,"3524001","3524","5350612.24","35535",40,90,90,60,40,10,15,75,105,90,45,25,5,20,5,10,0,0,46720,54400
"283","35240861","DA","Oakville",0.19022,1066,291,287,"3524001","3524","5350612.25","35535",50,100,135,100,75,35,20,60,115,145,85,55,35,25,20,10,0,5,36181,40107
