"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5877: Postsecondary certificate or diploma below bachelor level","v_CA21_5895: Bachelor's degree or higher","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over"
"113","35240226","DA","35240226",0.1325,497,275,259,"3524001","3524","5350606.00","35535",220,20,25,45,105,75,10.4,5,5,5,0,15,25,20,15,10,15,20,20,15,20,15,55
"114","35240227","DA","35240227",0.1583,593,297,285,"3524001","3524","5350606.00","35535",275,70,20,105,115,115,7.2,5,0,0,5,10,10,10,15,25,10,30,20,25,15,15,75
"115","35240228","DA","35240228",0.128,472,147,146,"3524001","3524","5350606.00","35535",160,50,25,90,70,45,7.6,0,0,5,0,0,10,5,10,0,5,15,20,10,10,5,45
"116","35240229","DA","35240229",0.203,579,208,202,"3524001","3524","5350606.00","35535",295,20,25,20,55,175,4.4,0,0,0,5,0,0,0,0,5,0,5,10,0,10,5,140
"117","35240230","DA","35240230",0.1588,417,163,150,"3524001","3524","5350606.00","35535",180,40,10,60,65,95,5.2,0,0,0,0,5,0,5,10,10,10,15,10,10,10,5,60
"118","35240231","DA","35240231",0.2288,501,180,172,"3524001","3524","5350606.00","35535",175,45,10,50,60,130,6.8,0,0,0,0,5,10,5,5,10,10,20,10,10,10,15,65
"119","35240232","DA","35240232",0.1746,483,176,169,"3524001","3524","5350606.00","35535",240,40,20,70,75,165,3.6,10,0,0,0,0,0,5,5,0,10,10,10,10,10,10,80
"120","35240233","DA","35240233",0.2561,622,231,219,"3524001","3524","5350606.00","35535",260,45,10,20,115,160,5.2,0,0,0,5,0,0,0,5,5,10,5,15,10,10,5,135
"121","35240234","DA","35240234",0.4101,728,273,250,"3524001","3524","5350607.00","35535",260,50,15,65,75,225,3.6,0,0,0,0,0,0,5,5,15,5,10,15,5,20,20,135
"122","35240235","DA","35240235",0.2288,529,184,174,"3524001","3524","5350607.00","35535",240,30,25,40,50,145,4.4,0,0,0,0,0,0,0,0,0,0,10,5,10,10,15,105
"123","35240236","DA","35240236",0.145,444,147,140,"3524001","3524","5350607.00","35535",180,45,15,55,90,65,4.5,0,0,0,0,0,0,5,5,5,5,10,5,10,5,5,80
"124","35240237","DA","35240237",0.2699,510,183,178,"3524001","3524","5350607.00","35535",265,25,0,45,70,155,7.2,5,0,5,0,5,0,0,0,5,5,5,10,10,10,5,100
"125","35240238","DA","35240238",0.1739,343,133,128,"3524001","3524","5350607.00","35535",145,0,0,30,50,70,4,5,0,0,0,0,10,0,5,5,5,10,10,5,10,5,55
"126","35240239","DA","35240239",2.0141,514,193,182,"3524001","3524","5350607.00","35535",245,40,40,95,110,90,4.4,0,0,0,0,5,5,0,5,10,5,10,10,15,15,10,80
"127","35240240","DA","35240240",0.1774,448,170,159,"3524001","3524","5350608.00","35535",210,30,10,55,45,115,6.4,0,0,0,0,0,0,5,5,5,5,10,20,15,10,10,70
"128","35240241","DA","35240241",0.3253,607,204,194,"3524001","3524","5350608.00","35535",315,20,0,55,110,145,3.8,0,0,0,0,0,0,0,0,5,10,10,5,15,15,10,105
"129","35240242","DA","35240242",0.1997,623,139,136,"3524001","3524","5350608.00","35535",255,45,25,60,85,105,4.4,0,0,0,0,0,0,0,0,0,0,5,10,5,5,10,85
"130","35240243","DA","35240243",0.1725,497,175,161,"3524001","3524","5350608.00","35535",235,50,30,85,90,110,5.6,5,0,0,0,0,0,5,10,5,5,10,10,10,15,10,75
"131","35240244","DA","35240244",0.341,765,272,253,"3524001","3524","5350611.00","35535",355,45,20,105,125,195,3.8,0,0,0,0,5,5,5,0,5,5,10,15,20,15,15,140
"132","35240245","DA","35240245",0.1977,477,174,165,"3524001","3524","5350611.00","35535",150,20,10,25,75,95,5.6,0,0,0,0,0,0,0,5,5,10,15,10,10,10,10,85
"133","35240246","DA","35240246",0.2174,496,162,153,"3524001","3524","5350611.00","35535",235,45,0,55,75,135,4.4,0,0,0,0,0,0,0,5,0,0,10,10,10,10,10,95
"134","35240247","DA","35240247",0.0965,314,122,120,"3524001","3524","5350611.00","35535",130,15,15,25,55,45,NA,0,0,0,0,0,0,0,5,0,0,5,10,10,10,5,75
"135","35240248","DA","35240248",0.2646,564,185,182,"3524001","3524","5350611.00","35535",295,45,15,80,100,120,3.8,0,0,0,0,0,0,0,0,5,0,15,10,10,10,10,120
"136","35240249","DA","35240249",0.1837,469,159,156,"3524001","3524","5350611.00","35535",190,35,0,40,55,95,1.6,0,0,0,0,0,0,0,0,0,5,10,5,10,15,5,100
"137","35240250","DA","35240250",0.1715,474,159,154,"3524001","3524","5350610.03","35535",255,15,15,55,65,135,6,0,0,0,0,0,0,10,0,0,0,10,0,5,10,10,100
"138","35240251","DA","35240251",0.2949,939,543,531,"3524001","3524","5350610.03","35535",325,50,20,65,85,195,5.8,10,0,5,5,25,15,15,25,25,20,60,60,45,25,20,165
"139","35240252","DA","35240252",0.2358,528,232,221,"3524001","3524","5350610.03","35535",260,30,0,55,60,155,4.8,10,0,0,0,10,10,5,5,10,5,15,10,10,10,15,105
"140","35240253","DA","35240253",0.077,861,528,500,"3524001","3524","5350610.03","35535",355,65,25,80,145,160,8,15,10,0,15,20,30,20,25,30,30,40,50,40,25,30,140
"141","35240254","DA","35240254",0.1758,350,184,172,"3524001","3524","5350610.03","35535",150,35,0,45,55,90,8.5,0,0,5,5,10,0,10,10,5,5,15,5,5,10,5,60
"142","35240255","DA","35240255",0.0806,996,606,578,"3524001","3524","5350610.04","35535",135,25,15,30,55,65,4,5,0,0,10,80,60,30,30,25,25,50,40,45,35,20,115
"143","35240256","DA","35240256",0.312,550,190,185,"3524001","3524","5350610.04","35535",265,35,10,30,95,150,2.8,0,0,0,0,0,0,0,5,0,0,10,15,10,10,10,115
"144","35240257","DA","35240257",0.0991,453,194,184,"3524001","3524","5350610.04","35535",255,20,10,65,50,135,5.2,0,0,0,0,5,0,5,0,5,0,10,10,15,15,10,95
"145","35240258","DA","35240258",0.0629,214,96,94,"3524001","3524","5350610.04","35535",70,0,0,10,20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","35240259","DA","35240259",0.144,1411,929,895,"3524001","3524","5350610.03","35535",395,70,55,90,125,180,5.7,10,5,5,20,30,40,35,40,45,45,105,80,70,75,45,240
"147","35240263","DA","35240263",0.1164,373,132,127,"3524001","3524","5350610.05","35535",175,10,0,25,50,120,2.8,0,0,0,0,0,0,0,0,0,0,5,10,0,10,10,75
"148","35240265","DA","35240265",0.1107,377,132,131,"3524001","3524","5350610.05","35535",270,25,0,30,50,160,5.2,0,0,0,0,0,0,0,5,0,5,5,10,5,10,10,75
"149","35240266","DA","35240266",0.2746,531,181,179,"3524001","3524","5350610.05","35535",245,25,10,30,40,190,3.2,0,0,0,0,0,0,0,0,5,5,5,10,5,10,5,120
"150","35240267","DA","35240267",8.031,51,18,17,"3524001","3524","5350612.01","35535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","35240268","DA","35240268",0.9418,815,278,276,"3524001","3524","5350611.00","35535",365,50,30,75,120,185,1.8,0,0,0,0,0,10,0,5,5,10,15,15,20,20,20,160
"152","35240269","DA","35240269",2.6202,807,283,276,"3524001","3524","5350611.00","35535",355,50,0,75,100,200,2.4,0,0,0,0,5,0,0,5,10,5,20,25,15,15,15,160
